Order Region,Total_Sales,Total_Units,Total_Orders,Late_Delivery_Rate,Average_Delivery_Days,Risk_Category
Canada,186861.04,2183,309,48.8,3.33,Low Risk
Caribbean,1651019.33,18204,2806,53.08,3.51,Medium Risk
Central Africa,327263.02,3700,556,57.96,3.56,High Risk
Central America,5665712.1,62091,9396,54.75,3.51,Medium Risk
Central Asia,109839.93,1214,184,55.33,3.42,Low Risk
East Africa,376234.9,4048,613,55.94,3.51,High Risk
East of USA,1371111.99,15108,2323,55.66,3.5,Medium Risk
Eastern Asia,1486401.34,14359,3318,54.33,3.53,Medium Risk
Eastern Europe,774266.57,8806,1292,55.66,3.5,Medium Risk
North Africa,634752.22,7155,1064,54.52,3.48,Low Risk
Northern Europe,2155830.65,20402,3716,54.04,3.5,Low Risk
Oceania,2016654.2,20430,4362,54.02,3.5,Low Risk
South America,2960881.41,32647,4979,54.31,3.51,Medium Risk
South Asia,1553680.92,15624,3335,56.27,3.5,Medium Risk
South of  USA ,785783.95,8804,1345,55.77,3.49,Medium Risk
Southeast Asia,1932495.57,18835,4356,55.53,3.5,Low Risk
Southern Africa,228251.59,2507,398,53.33,3.45,Low Risk
Southern Europe,2047918.82,19526,3543,54.38,3.44,Low Risk
US Center ,1151355.77,12974,1935,55.24,3.46,Low Risk
West Africa,727951.19,8193,1223,52.84,3.53,Medium Risk
West Asia,1174671.78,13218,2022,55.28,3.49,Low Risk
West of USA ,1571415.96,17547,2667,53.96,3.5,Low Risk
Western Europe,5894380.77,56504,10010,55.85,3.5,Medium Risk
